Age_BP,Temp_Delta
79.535,-3.5
79.61,-3.52
79.684,-3.47
79.758,-3.41
79.831,-3.29
79.904,-3.16
79.978,-3.13
80.05,-3.14
80.123,-3.09
80.195,-3.0
80.267,-2.94
80.339,-2.91
80.41,-2.88
80.482,-2.84
80.553,-2.78
80.624,-2.79
80.695,-2.91
80.766,-3.03
80.836,-3.14
80.907,-3.22
80.977,-3.28
81.047,-3.27
81.117,-3.22
81.187,-3.15
81.256,-3.05
81.326,-2.97
81.395,-2.83
81.464,-2.68
81.534,-2.55
81.603,-2.51
81.671,-2.58
81.74,-2.67
81.809,-2.7
81.877,-2.73
81.945,-2.8
82.014,-2.87
82.082,-2.9
82.15,-2.89
82.217,-2.83
82.285,-2.8
82.353,-2.89
82.42,-2.96
82.487,-3.06
82.554,-3.1
82.621,-3.07
82.688,-2.99
82.755,-2.89
82.822,-2.78
82.888,-2.7
82.955,-2.64
83.021,-2.51
83.087,-2.36
83.153,-2.27
83.219,-2.24
83.285,-2.27
83.351,-2.31
83.417,-2.34
83.483,-2.37
83.548,-2.39
83.614,-2.39
83.68,-2.36
83.745,-2.29
83.811,-2.19
83.877,-2.13
83.943,-2.18
84.009,-2.24
84.075,-2.31
84.141,-2.37
84.208,-2.43
84.274,-2.49
84.341,-2.56
84.407,-2.59
84.474,-2.68
84.542,-2.75
84.609,-2.81
84.676,-2.85
84.744,-2.91
84.812,-2.95
84.88,-3.0
84.949,-3.05
85.017,-3.12
85.086,-3.24
85.155,-3.34
85.224,-3.37
85.294,-3.37
85.364,-3.39
85.434,-3.37
85.505,-3.35
85.575,-3.33
85.646,-3.32
85.717,-3.3
85.789,-3.3
85.86,-3.31
85.932,-3.33
86.004,-3.33
86.077,-3.3
86.149,-3.32
86.222,-3.34
86.295,-3.38
86.368,-3.45
86.442,-3.53
86.516,-3.61
86.59,-3.66
86.664,-3.72
86.738,-3.82
86.812,-3.96
86.887,-4.06
86.962,-4.09
87.037,-4.07
87.112,-4.02
87.188,-3.91
87.263,-3.84
87.339,-3.79
87.415,-3.75
87.492,-3.72
87.568,-3.72
87.645,-3.75
87.721,-3.83
87.798,-3.94
87.876,-3.98
87.953,-4.02
88.03,-4.09
88.108,-4.17
88.186,-4.24
88.263,-4.28
88.341,-4.31
88.42,-4.29
88.498,-4.36
88.576,-4.42
88.654,-4.5
88.733,-4.56
88.811,-4.6
88.89,-4.6
88.968,-4.55
89.046,-4.46
89.125,-4.35
89.203,-4.24
89.282,-4.19
89.36,-4.17
89.438,-4.16
89.516,-4.16
89.594,-4.24
89.673,-4.29
89.751,-4.24
89.828,-4.18
89.906,-4.14
89.984,-4.06
90.061,-3.96
90.139,-3.84
90.216,-3.76
90.294,-3.72
90.371,-3.72
90.448,-3.73
90.525,-3.72
90.602,-3.72
90.679,-3.83
90.756,-3.96
90.833,-4.06
90.91,-4.11
90.987,-4.09
91.063,-4.04
91.14,-3.98
91.216,-3.92
91.293,-3.86
91.369,-3.8
91.446,-3.82
91.522,-3.84
91.598,-3.79
91.674,-3.79
91.75,-3.79
91.826,-3.81
91.902,-3.87
91.978,-3.93
92.054,-4.04
92.13,-4.17
92.206,-4.19
92.281,-4.15
92.357,-3.99
92.433,-3.82
92.508,-3.75
92.584,-3.69
92.659,-3.62
92.734,-3.59
92.81,-3.56
92.885,-3.55
92.96,-3.54
93.035,-3.56
93.11,-3.63
93.185,-3.7
93.26,-3.77
93.335,-3.77
93.409,-3.72
93.484,-3.71
93.559,-3.66
93.633,-3.63
93.708,-3.62
93.783,-3.61
93.857,-3.65
93.932,-3.71
94.006,-3.74
